symbol,signed_drift_5,signed_drift_10,signed_drift_50,n_classified,buy_aggr,mid,sell_aggr,%buy_aggr,%sell_aggr
HYDROGEL_PACK,-0.068,0.008,-0.442,1009,524,0,486,51.9,48.1
VELVETFRUIT_EXTRACT,0.259,0.292,0.325,1372,781,0,591,56.9,43.1
VEV_4000,0.129,0.23,0.162,464,226,0,238,48.7,51.3
VEV_4500,2.5,3.0,3.5,1,1,0,0,100.0,0.0
VEV_5000,0.5,1.0,2.0,1,1,0,0,100.0,0.0
VEV_5100,0.0,1.0,1.0,1,1,0,0,100.0,0.0
VEV_5200,0.194,0.0,-0.556,18,1,0,17,5.6,94.4
VEV_5300,0.254,0.279,0.342,120,1,1,119,0.8,98.3
VEV_5400,0.036,0.082,0.036,225,0,0,225,0.0,100.0
VEV_5500,0.024,0.028,-0.009,267,0,0,267,0.0,100.0
VEV_6000,0.0,0.0,0.0,284,0,0,284,0.0,100.0
VEV_6500,0.0,0.0,0.0,284,0,0,284,0.0,100.0
