K,thr,N,trades,mean,std,sharpe_per_trade,total_pnl
10,1,5,1362,-4.618208516886931,2.469114418636974,-1.8703906477669234,-6290.0
10,1,20,594,-4.348484848484849,4.328836757218485,-1.0045388847783634,-2583.0
10,1,50,373,-4.128686327077748,7.012784773895982,-0.5887370652590911,-1540.0
10,3,5,1181,-4.561388653683319,2.502631861504012,-1.82263669053595,-5387.0
10,3,20,529,-4.117202268431002,4.3558043016298305,-0.9452220493215236,-2178.0
10,3,50,347,-3.8069164265129682,6.899037939983968,-0.5518039558021713,-1321.0
10,5,5,840,-4.45,2.532620513749872,-1.757073345903466,-3738.0
10,5,20,392,-3.9872448979591835,4.372611950145542,-0.9118679963872752,-1563.0
10,5,50,275,-3.7781818181818183,6.871672838785748,-0.549819804699679,-1039.0
10,10,5,207,-3.9323671497584543,2.7249545846471386,-1.4430945645526139,-814.0
10,10,20,118,-2.7203389830508473,4.335282121330879,-0.6274883403009327,-321.0
10,10,50,98,-3.122448979591837,6.227433228445236,-0.5014022415092033,-306.0
10,20,5,4,-5.0,4.636809247747852,-1.0783277320341516,-20.0
10,20,20,2,-5.5,4.5,-1.2222222222219505,-11.0
10,20,50,2,4.5,4.5,0.9999999999997777,9.0
50,1,5,3045,-4.87816091954023,2.3466286267126995,-2.078795453190979,-14854.0
50,1,20,865,-4.710982658959537,4.366152744216178,-1.078977977854548,-4075.0
50,1,50,394,-4.395939086294416,6.616820878213387,-0.6643581815502769,-1732.0
50,3,5,2700,-4.846666666666667,2.3587912786629293,-2.054724684844487,-13086.0
50,3,20,767,-4.5801825293350715,4.431253641171265,-1.0336087482736394,-3513.0
50,3,50,352,-4.073863636363637,6.39870360304232,-0.6366701583780261,-1434.0
50,5,5,2231,-4.883460331689825,2.3449402586806816,-2.0825521305328656,-10895.0
50,5,20,647,-4.58887171561051,4.456320707124733,-1.0297444948862915,-2969.0
50,5,50,301,-4.129568106312292,6.6955498792527015,-0.6167631009826159,-1243.0
50,10,5,1330,-4.851127819548872,2.4177481768827906,-2.0064652993768104,-6452.0
50,10,20,416,-4.490384615384615,4.480181126806603,-1.0022774723360977,-1868.0
50,10,50,210,-4.276190476190476,7.023084708364387,-0.6088763917509054,-898.0
50,20,5,336,-4.538690476190476,2.516314046454752,-1.8037058937787425,-1525.0
50,20,20,120,-3.8333333333333335,5.094659513211414,-0.7524218887232844,-460.0
50,20,50,66,-3.121212121212121,7.668343330854003,-0.40702560990629416,-206.0
100,1,5,3540,-4.95225988700565,2.328703958116862,-2.1266163394200763,-17531.0
100,1,20,953,-4.824763903462749,4.37940131743344,-1.10169485592821,-4598.0
100,1,50,421,-4.5178147268408555,6.602942622921113,-0.6842123254497569,-1902.0
100,3,5,3260,-4.954601226993865,2.3312547624316946,-2.1252937717642126,-16152.0
100,3,20,877,-4.838084378563284,4.353141172024612,-1.1114007534729264,-4243.0
100,3,50,386,-4.572538860103627,6.752943881533649,-0.6771178526459913,-1765.0
100,5,5,2957,-4.928643895840379,2.3411988366150314,-2.105179542530544,-14574.0
100,5,20,802,-4.86284289276808,4.3185086667729555,-1.1260468064316185,-3900.0
100,5,50,356,-4.491573033707865,6.787085952587615,-0.6617822531030073,-1599.0
100,10,5,2163,-4.882570503929728,2.365979881336605,-2.0636568140086506,-10561.0
100,10,20,608,-4.6957236842105265,4.519458820358113,-1.0390013209230673,-2855.0
100,10,50,283,-4.41696113074205,6.936052834849069,-0.6368119211187536,-1250.0
100,20,5,1009,-4.781962338949455,2.3688663877269978,-2.018671193834567,-4825.0
100,20,20,292,-4.304794520547945,4.384699927124874,-0.9817763112856149,-1257.0
100,20,50,138,-3.782608695652174,6.918510280331657,-0.5467374539292146,-522.0
