side,K,thr,N,trades,mean,std,sharpe,total
long,10,1,5,1362,0.2198972099853157,2.2502065145247974,0.09772312388476764,299.5
short,10,1,5,1032,0.06831395348837209,2.1872015557829263,0.031233497117684396,70.5
long,10,1,20,594,0.3611111111111111,4.14627163393835,0.08709297002039912,214.5
short,10,1,20,480,-0.011458333333333333,4.144822819686895,-0.002764492918468381,-5.5
long,10,1,50,373,0.5308310991957105,6.811891400831873,0.07792712302060587,198.0
short,10,1,50,319,-0.18495297805642633,6.725958643095818,-0.027498381698533438,-59.0
long,10,3,5,1181,0.2489415749364945,2.268271596323909,0.10974945652003655,294.0
short,10,3,5,862,0.06206496519721578,2.1804950385059114,0.02846370393014726,53.5
long,10,3,20,529,0.5444234404536862,4.178599282578491,0.13028850187271562,288.0
short,10,3,20,411,0.04744525547445255,4.226214338372387,0.011226419598186682,19.5
long,10,3,50,347,0.7737752161383286,6.715179448628459,0.11522777940003569,268.5
short,10,3,50,287,-0.4930313588850174,6.493225111141947,-0.07593011953935373,-141.5
long,10,5,5,840,0.2976190476190476,2.2547820183142715,0.13199459868028515,250.0
short,10,5,5,565,0.08584070796460178,2.161442784965437,0.039714540936106574,48.5
long,10,5,20,392,0.5510204081632653,4.208221906200813,0.1309390095021382,216.0
short,10,5,20,289,0.04498269896193772,4.164820214828727,0.01080063403499802,13.0
long,10,5,50,275,0.6745454545454546,6.696029167467108,0.10073812966984322,185.5
short,10,5,50,217,-0.3433179723502304,6.241001932389681,-0.05501007307310973,-74.5
long,10,10,5,207,0.5362318840579711,2.296266935691404,0.23352332245130664,111.0
short,10,10,5,60,-0.008333333333333333,1.9631854783036222,-0.004244801841408218,-0.5
long,10,10,20,118,1.3644067796610169,4.10800222434315,0.3321338950537805,161.0
short,10,10,20,39,0.24358974358974358,3.9724561201555737,0.06131968138143777,9.5
long,10,10,50,98,0.9693877551020408,6.233065353964198,0.1555234383168082,95.0
short,10,10,50,36,-0.3472222222222222,6.28028158034296,-0.05528768380528656,-12.5
long,10,20,5,4,-0.5,3.6742346141747673,-0.13608276348791729,-2.0
short,10,20,5,3,0.5,1.4719601443879744,0.33968311024314796,1.5
long,10,20,20,2,-2.0,4.0,-0.499999999999875,-4.0
short,10,20,20,2,0.75,0.25,2.9999999999880003,1.5
long,10,20,50,2,7.5,3.5,2.1428571428565304,15.0
short,10,20,50,2,4.25,4.75,0.8947368421050748,8.5
long,50,1,5,3045,0.06272577996715928,2.2448641897054915,0.027941904127109115,191.0
short,50,1,5,2090,0.03684210526315789,2.1465074735301823,0.017163744229853336,77.0
long,50,1,20,865,0.21213872832369943,4.277015131095692,0.04959971424494442,183.5
short,50,1,20,619,0.05088852988691438,4.247425716855763,0.011981028811158019,31.5
long,50,1,50,394,0.4403553299492386,6.544623932038547,0.06728504716572882,173.5
short,50,1,50,301,0.1644518272425249,6.5173190263227685,0.025233048524753197,49.5
long,50,3,5,2700,0.08333333333333333,2.249670757804021,0.03704245745481474,225.0
short,50,3,5,1703,0.04756312389900176,2.1361672323319296,0.022265636874814147,81.0
long,50,3,20,767,0.26597131681877445,4.312778056545249,0.06167053192432747,204.0
short,50,3,20,522,0.044061302681992334,4.1962139910055765,0.010500251602140773,23.0
long,50,3,50,352,0.7258522727272727,6.3323651746759975,0.11462577610494441,255.5
short,50,3,50,259,-0.02702702702702703,6.623291886104368,-0.004080603345252761,-7.0
long,50,5,5,2231,0.05871806364858808,2.227563358919743,0.02635977262484558,131.0
short,50,5,5,1283,0.05300077942322681,2.1290032114115007,0.02489464512740829,68.0
long,50,5,20,647,0.2596599690880989,4.358345247928857,0.05957765030465018,168.0
short,50,5,20,407,0.08230958230958231,4.144648907633728,0.01985924119120498,33.5
long,50,5,50,301,0.5880398671096345,6.602354594468676,0.0890651749607926,177.0
