K,thr,N,trades,mean,std,sharpe_per_trade,total_pnl
10,1,5,1032,-4.888565891472868,2.296818046152368,-2.1284079945558028,-5045.0
10,1,20,480,-4.991666666666666,4.185283410024012,-1.1926711234680365,-2396.0
10,1,50,319,-5.172413793103448,6.7237279836452535,-0.7692776694244652,-1650.0
10,3,5,862,-4.909512761020881,2.2840468612141707,-2.1494798746856256,-4232.0
10,3,20,411,-4.912408759124087,4.262336243924644,-1.1525155403037188,-2019.0
10,3,50,287,-5.470383275261324,6.489739491569063,-0.8429280223600892,-1570.0
10,5,5,565,-4.876106194690266,2.262947969098402,-2.1547584218787126,-2755.0
10,5,20,289,-4.913494809688581,4.2372697068173695,-1.1595898183639501,-1420.0
10,5,50,217,-5.271889400921659,6.241292007529508,-0.8446791777344812,-1144.0
10,10,5,60,-5.033333333333333,2.1131861147460613,-2.381869395321008,-302.0
10,10,20,39,-4.82051282051282,4.075390778002201,-1.1828345017933968,-188.0
10,10,50,36,-5.277777777777778,6.229905970001612,-0.8471681279285127,-190.0
10,20,5,3,-5.0,1.4142135623730951,-3.535533905930237,-15.0
10,20,20,2,-4.5,0.5,-8.999999999982,-9.0
10,20,50,2,-1.0,5.0,-0.19999999999996,-2.0
50,1,5,2090,-4.9722488038277515,2.2369654803117154,-2.2227651019150545,-10392.0
50,1,20,619,-4.94345718901454,4.292048665539507,-1.1517710012712539,-3060.0
50,1,50,301,-4.813953488372093,6.562650129995784,-0.7335380361613841,-1449.0
50,3,5,1703,-4.945977686435702,2.235283961955769,-2.212684281108513,-8423.0
50,3,20,522,-4.959770114942529,4.262946288456375,-1.163460616046681,-2589.0
50,3,50,259,-5.015444015444015,6.608155200231048,-0.7589779391482658,-1299.0
50,5,5,1283,-4.9696024941543255,2.218362835281268,-2.2402117521600045,-6376.0
50,5,20,407,-4.931203931203931,4.19256206671145,-1.1761791126137526,-2007.0
50,5,50,208,-5.105769230769231,6.616439707900619,-0.7716792498950328,-1062.0
50,10,5,519,-4.922928709055877,2.1801862837638026,-2.258031226833899,-2555.0
50,10,20,181,-4.751381215469613,3.998488771634192,-1.1882942498614355,-860.0
50,10,50,97,-4.536082474226804,6.059944295055638,-0.7485353418062085,-440.0
50,20,5,88,-4.954545454545454,2.1945650371951473,-2.2576434831366647,-436.0
50,20,20,33,-4.242424242424242,3.550760081074431,-1.1947932683582847,-140.0
50,20,50,22,-4.636363636363637,6.6026541119699775,-0.7021969586378382,-102.0
100,1,5,2128,-4.978853383458647,2.2482290861067455,-2.2145667513261755,-10595.0
100,1,20,594,-4.983164983164984,4.120212076900793,-1.2094438077838194,-2960.0
100,1,50,278,-5.280575539568345,6.657638850556379,-0.793160406880024,-1468.0
100,3,5,1868,-4.977516059957173,2.2130931770582207,-2.2491217774081,-9298.0
100,3,20,534,-4.953183520599251,4.089776599856302,-1.2111134678534945,-2645.0
100,3,50,254,-5.24015748031496,6.600032925741298,-0.7939592937296757,-1331.0
100,5,5,1517,-4.939353988134476,2.181666971793136,-2.264027485401451,-7493.0
100,5,20,438,-4.737442922374429,4.1305206411892055,-1.1469360242706206,-2075.0
100,5,50,216,-5.0092592592592595,6.730245951108642,-0.7442906686691537,-1082.0
100,10,5,852,-4.816901408450704,2.244303330876629,-2.1462791335639406,-4104.0
100,10,20,257,-4.5136186770428015,4.360328020462737,-1.0351557625618177,-1160.0
100,10,50,137,-4.583941605839416,6.900378002727947,-0.6643029706527046,-628.0
100,20,5,232,-5.021551724137931,2.3257296235391105,-2.159129622511482,-1165.0
100,20,20,76,-5.197368421052632,4.267440181932395,-1.217912425124592,-395.0
100,20,50,41,-5.317073170731708,6.166150810993382,-0.8623002151117112,-218.0
