K,h,n,corr,t
10,1,29997,0.024398151585694715,4.226789871516461
10,5,29985,0.012082917540635566,2.092382404186921
10,20,29940,0.016507783372581894,2.8566651414083335
10,50,29850,0.021965660003051203,3.7958292824090876
50,1,29997,0.010694355824717743,1.8522683223954692
50,5,29985,0.013335643019174668,2.3093519456731872
50,20,29940,0.03258010644936284,5.640200039007346
50,50,29850,0.04791207449325477,8.287082118139754
100,1,29997,0.01089828791386073,1.8875936290459359
100,5,29985,0.01442850304081713,2.4986419578397787
100,20,29940,0.02272324864275718,3.932728493398341
100,50,29850,0.03573510441471652,6.17774740792782
