product_a,product_b,correlation,abs_correlation,category_a,category_b,same_category
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,-0.9231686292032215,0.9231686292032215,Snackpacks,Snackpacks,True
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,-0.9151916562765425,0.9151916562765425,Snackpacks,Snackpacks,True
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,0.9125632337000372,0.9125632337000372,Snackpacks,Snackpacks,True
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,-0.8306591784804822,0.8306591784804822,Snackpacks,Snackpacks,True
PEBBLES_M,PEBBLES_XL,-0.5059318818640386,0.5059318818640386,Pebbles,Pebbles,True
PEBBLES_L,PEBBLES_XL,-0.493156769944807,0.493156769944807,Pebbles,Pebbles,True
PEBBLES_S,PEBBLES_XL,-0.48293566761512197,0.48293566761512197,Pebbles,Pebbles,True
PEBBLES_XL,PEBBLES_XS,-0.4751281898423835,0.4751281898423835,Pebbles,Pebbles,True
SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,0.03997314927939858,0.03997314927939858,Snackpacks,Snackpacks,True
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,0.030747765977141978,0.030747765977141978,Snackpacks,Snackpacks,True
SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,0.030698574593780455,0.030698574593780455,Snackpacks,Snackpacks,True
OXYGEN_SHAKE_MINT,SNACKPACK_VANILLA,0.02796272010364292,0.02796272010364292,Oxygen shakes,Snackpacks,False
GALAXY_SOUNDS_PLANETARY_RINGS,SNACKPACK_PISTACHIO,0.025389608682273357,0.025389608682273357,Galaxy sounds,Snackpacks,False
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,0.024692495641156397,0.024692495641156397,Snackpacks,Snackpacks,True
ROBOT_MOPPING,SNACKPACK_RASPBERRY,0.02429268860468688,0.02429268860468688,Robots,Snackpacks,False
SNACKPACK_PISTACHIO,UV_VISOR_RED,0.023387240364160636,0.023387240364160636,Snackpacks,UV visors,False
SNACKPACK_STRAWBERRY,UV_VISOR_RED,0.023200838647267696,0.023200838647267696,Snackpacks,UV visors,False
SNACKPACK_PISTACHIO,UV_VISOR_MAGENTA,0.023185866979722088,0.023185866979722088,Snackpacks,UV visors,False
SNACKPACK_PISTACHIO,TRANSLATOR_ASTRO_BLACK,0.022424178195918656,0.022424178195918656,Snackpacks,Translators,False
SNACKPACK_PISTACHIO,UV_VISOR_ORANGE,0.021974443209644277,0.021974443209644277,Snackpacks,UV visors,False
OXYGEN_SHAKE_MORNING_BREATH,SNACKPACK_CHOCOLATE,0.02180979483051729,0.02180979483051729,Oxygen shakes,Snackpacks,False
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_EVENING_BREATH,0.021564044940340546,0.021564044940340546,Galaxy sounds,Oxygen shakes,False
GALAXY_SOUNDS_SOLAR_WINDS,TRANSLATOR_GRAPHITE_MIST,0.021515191885204992,0.021515191885204992,Galaxy sounds,Translators,False
SNACKPACK_CHOCOLATE,UV_VISOR_RED,0.0212242681380637,0.0212242681380637,Snackpacks,UV visors,False
SNACKPACK_PISTACHIO,TRANSLATOR_ECLIPSE_CHARCOAL,0.021141387021936874,0.021141387021936874,Snackpacks,Translators,False
SNACKPACK_STRAWBERRY,UV_VISOR_MAGENTA,0.021060088006310217,0.021060088006310217,Snackpacks,UV visors,False
SNACKPACK_STRAWBERRY,TRANSLATOR_ASTRO_BLACK,0.020909005251041377,0.020909005251041377,Snackpacks,Translators,False
