day,timestamp,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS,MICROCHIP_CIRCLE,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,PANEL_1X2,PANEL_1X4,PANEL_2X2,PANEL_2X4,PANEL_4X4,PEBBLES_L,PEBBLES_M,PEBBLES_S,PEBBLES_XL,PEBBLES_XS,ROBOT_DISHES,ROBOT_IRONING,ROBOT_LAUNDRY,ROBOT_MOPPING,ROBOT_VACUUMING,SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_SPACE_GRAY,TRANSLATOR_VOID_BLUE,UV_VISOR_AMBER,UV_VISOR_MAGENTA,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_YELLOW
2,0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2,100,10007.5,9988.5,9988.5,10002.5,10000.5,9991.5,9999.5,9999.5,9999.5,10000.5,10000.0,10000.0,10005.5,10008.5,9991.5,10002.5,9996.5,9976.0,9998.5,9997.5,9997.5,10010.5,10010.5,9959.5,10022.5,9979.5,9990.0,9990.5,10012.0,9996.5,10002.5,9984.5,10020.5,9995.5,9998.5,10008.5,9997.5,10005.5,9994.5,9993.5,9986.5,10015.5,10006.5,10000.5,10002.5,10014.0,10009.5,10003.5,10004.5,9989.5
2,200,10002.5,10003.5,9995.5,10003.5,10007.5,9993.5,9998.5,10001.5,9999.5,10001.5,10000.0,10000.0,10006.5,9998.5,10003.5,10016.5,9992.5,9991.5,10004.5,10008.5,9993.5,10040.5,10012.5,9928.5,10025.5,9998.0,9980.0,10007.5,10001.5,10016.5,10003.5,9978.5,10003.5,9988.5,10006.5,10007.5,10000.5,10001.5,9999.5,9994.5,9996.5,9996.5,10002.5,10002.5,10007.5,10003.5,10017.5,10016.5,10017.5,9985.5
2,300,10000.5,9994.5,9997.5,10012.5,10021.5,9969.5,9997.5,10002.5,9998.5,10001.5,10000.0,10000.0,10024.5,10005.5,10000.5,10010.5,10000.5,9980.0,9991.5,10016.5,9981.5,10034.5,9999.5,9949.0,10035.5,10000.0,9980.0,10006.0,10010.5,10013.5,10005.5,9973.5,9997.5,10005.5,10012.5,10011.5,9999.5,10008.5,9991.5,9988.5,9974.5,9997.5,10010.5,9995.5,10009.5,10009.5,10019.5,10029.5,10014.5,9991.5
2,400,10005.5,9986.5,10008.5,10012.5,10013.5,9977.5,9996.5,10001.5,10000.5,10000.5,10000.0,10000.0,10012.5,9997.5,9997.5,10021.5,9991.5,9982.5,10001.5,10014.5,9968.5,10057.0,9984.5,9947.5,10042.5,9983.5,9980.0,10000.0,10010.5,10010.5,10014.5,9962.5,9999.5,10016.5,10006.5,10012.5,9988.5,10018.5,9980.5,9990.5,9993.5,9993.5,10013.5,9988.5,10019.5,10023.5,10011.5,10032.5,9995.5,9995.5
2,500,10012.5,9980.5,9998.5,10027.5,10007.5,9967.5,9997.5,10003.5,10002.5,10001.5,10000.0,10000.0,9995.5,9999.5,10009.5,10027.5,9982.5,9972.5,9982.5,10013.5,9979.5,10049.5,9956.5,9971.5,10043.5,9985.0,9990.0,10001.5,10004.0,10010.5,10011.5,9952.5,10000.5,10038.5,10006.5,10015.5,9986.5,10019.0,9980.5,9989.5,9979.5,9996.5,10009.5,10001.5,10036.5,10021.5,10001.5,10043.5,9995.5,9994.5
2,600,10001.5,10008.5,9993.5,10033.5,10009.5,9984.5,9997.5,10004.5,10003.5,10000.5,10000.0,10000.0,9991.5,10000.5,10001.5,10035.5,9969.5,9980.5,9999.5,10025.5,9984.5,10045.5,9971.5,9949.5,10048.5,9970.0,9990.0,9997.0,10009.0,10016.5,10007.5,9967.5,10012.5,10032.5,10013.5,9999.5,9982.5,10025.5,9977.5,10005.5,9979.5,9980.5,10010.5,9991.5,10043.5,10024.5,9999.5,10039.5,9983.5,9995.5
2,700,9988.5,10006.5,9982.5,10036.5,10019.5,9992.5,9997.5,10005.5,10001.5,10001.5,10000.0,10000.0,9989.5,10012.5,10007.5,10044.5,9964.5,9966.5,9993.5,10005.5,9994.5,10023.5,9990.5,9920.5,10070.5,9966.5,9990.0,9993.5,10021.0,10008.5,10012.5,9957.5,10013.5,10029.5,10004.5,10002.5,9982.5,10027.5,9974.0,10002.5,9993.5,9971.5,10010.5,10000.5,10043.5,10035.5,10019.5,10045.5,9983.5,9990.5
2,800,9981.5,9998.5,9990.5,10028.5,10036.5,9986.5,9996.5,10004.5,9999.5,10002.5,10000.0,10000.0,9984.5,10010.5,10003.5,10049.5,9952.5,9957.5,10001.5,9997.5,9988.5,10038.5,9996.5,9928.5,10048.5,9953.5,10000.0,10000.0,10036.5,10004.0,10018.5,9940.5,9998.5,10031.5,10005.5,10006.5,9984.5,10016.5,9980.5,9999.5,10000.5,9982.5,10005.5,10021.5,10040.5,10026.5,10018.5,10035.5,9991.5,9979.5
2,900,9973.5,9998.5,9984.5,10029.5,10058.5,9990.5,9995.5,10002.5,9999.5,10002.5,10000.0,10000.0,9989.5,10016.5,9996.5,10052.5,9949.5,9963.5,10010.5,10013.5,9966.5,10036.5,9994.5,9961.5,10041.5,9956.5,10000.0,10000.5,10031.0,9991.5,10024.5,9934.5,10008.5,10018.5,10003.5,10013.5,9982.0,10018.5,9979.5,9994.5,10008.5,9999.5,10004.5,10016.5,10025.5,10021.5,10028.5,10044.5,9990.5,9963.5
