product_a,product_b,correlation,abs_correlation,category_a,category_b,same_category
PEBBLES_XS,UV_VISOR_AMBER,0.9582978958301704,0.9582978958301704,Pebbles,UV visors,False
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,-0.940922047238229,0.940922047238229,Sleep pods,UV visors,False
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,-0.9258729584924743,0.9258729584924743,Snackpacks,Snackpacks,True
MICROCHIP_SQUARE,SLEEP_POD_SUEDE,0.9184890103606063,0.9184890103606063,Microchips,Sleep pods,False
MICROCHIP_SQUARE,UV_VISOR_AMBER,-0.9141512704655098,0.9141512704655098,Microchips,UV visors,False
MICROCHIP_SQUARE,PEBBLES_XS,-0.9137680533902138,0.9137680533902138,Microchips,Pebbles,False
SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,-0.8936286230056407,0.8936286230056407,Snackpacks,UV visors,False
PEBBLES_XS,SLEEP_POD_POLYESTER,-0.8932897560346159,0.8932897560346159,Pebbles,Sleep pods,False
SLEEP_POD_SUEDE,UV_VISOR_AMBER,-0.8909262809414851,0.8909262809414851,Sleep pods,UV visors,False
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,0.8853271795478015,0.8853271795478015,Galaxy sounds,Oxygen shakes,False
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,-0.8850039410192105,0.8850039410192105,Galaxy sounds,Pebbles,False
OXYGEN_SHAKE_GARLIC,PEBBLES_S,-0.8840357726465093,0.8840357726465093,Oxygen shakes,Pebbles,False
MICROCHIP_OVAL,ROBOT_IRONING,0.8823250697613839,0.8823250697613839,Microchips,Robots,False
MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,-0.8822983028170499,0.8822983028170499,Microchips,Microchips,True
MICROCHIP_SQUARE,SLEEP_POD_POLYESTER,0.8793993760667139,0.8793993760667139,Microchips,Sleep pods,False
PEBBLES_XS,SLEEP_POD_SUEDE,-0.879139456549453,0.879139456549453,Pebbles,Sleep pods,False
MICROCHIP_OVAL,PEBBLES_S,0.8780761677026365,0.8780761677026365,Microchips,Pebbles,False
PANEL_2X4,PEBBLES_XL,0.8762561570063178,0.8762561570063178,Panels,Pebbles,False
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,0.8752369904279045,0.8752369904279045,Sleep pods,Sleep pods,True
PANEL_1X4,ROBOT_MOPPING,-0.8751482757175731,0.8751482757175731,Panels,Robots,False
SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,0.8751293286642039,0.8751293286642039,Sleep pods,Snackpacks,False
MICROCHIP_OVAL,UV_VISOR_AMBER,0.8712661769666958,0.8712661769666958,Microchips,UV visors,False
MICROCHIP_OVAL,ROBOT_VACUUMING,0.8709724095252637,0.8709724095252637,Microchips,Robots,False
MICROCHIP_OVAL,MICROCHIP_TRIANGLE,0.8704587961153705,0.8704587961153705,Microchips,Microchips,True
MICROCHIP_OVAL,PEBBLES_XS,0.8704321037497369,0.8704321037497369,Microchips,Pebbles,False
UV_VISOR_AMBER,UV_VISOR_MAGENTA,-0.867276220686244,0.867276220686244,UV visors,UV visors,True
MICROCHIP_OVAL,ROBOT_LAUNDRY,0.8618805243307176,0.8618805243307176,Microchips,Robots,False
PANEL_2X4,PEBBLES_XS,-0.8596683206195257,0.8596683206195257,Panels,Pebbles,False
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,0.859616647598686,0.859616647598686,Sleep pods,Sleep pods,True
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_OVAL,-0.8586018644290404,0.8586018644290404,Galaxy sounds,Microchips,False
SLEEP_POD_POLYESTER,UV_VISOR_MAGENTA,0.8582018081201666,0.8582018081201666,Sleep pods,UV visors,False
OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_M,-0.8576457785535174,0.8576457785535174,Oxygen shakes,Pebbles,False
MICROCHIP_TRIANGLE,ROBOT_LAUNDRY,0.856255321075568,0.856255321075568,Microchips,Robots,False
OXYGEN_SHAKE_GARLIC,PEBBLES_XL,0.8531837227851208,0.8531837227851208,Oxygen shakes,Pebbles,False
MICROCHIP_TRIANGLE,UV_VISOR_RED,-0.8523548245067996,0.8523548245067996,Microchips,UV visors,False
PEBBLES_XS,ROBOT_VACUUMING,0.8519409506156891,0.8519409506156891,Pebbles,Robots,False
PEBBLES_XS,SNACKPACK_STRAWBERRY,-0.8504540181304768,0.8504540181304768,Pebbles,Snackpacks,False
PANEL_1X4,ROBOT_IRONING,0.848613214869583,0.848613214869583,Panels,Robots,False
SLEEP_POD_SUEDE,UV_VISOR_MAGENTA,0.8479262583205713,0.8479262583205713,Sleep pods,UV visors,False
MICROCHIP_OVAL,OXYGEN_SHAKE_GARLIC,-0.8468219501354766,0.8468219501354766,Microchips,Oxygen shakes,False
PEBBLES_XS,UV_VISOR_MAGENTA,-0.8456362211136017,0.8456362211136017,Pebbles,UV visors,False
PANEL_2X2,ROBOT_LAUNDRY,0.8438259735102406,0.8438259735102406,Panels,Robots,False
MICROCHIP_RECTANGLE,PEBBLES_XS,0.8430428409745448,0.8430428409745448,Microchips,Pebbles,False
OXYGEN_SHAKE_GARLIC,PANEL_2X4,0.8428359272688238,0.8428359272688238,Oxygen shakes,Panels,False
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_TRIANGLE,-0.8418525444606354,0.8418525444606354,Galaxy sounds,Microchips,False
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_DISHES,0.8391011310368544,0.8391011310368544,Galaxy sounds,Robots,False
ROBOT_VACUUMING,UV_VISOR_AMBER,0.8374542581515411,0.8374542581515411,Robots,UV visors,False
PEBBLES_S,PEBBLES_XL,-0.8343570524569902,0.8343570524569902,Pebbles,Pebbles,True
MICROCHIP_TRIANGLE,PEBBLES_S,0.8336147596497361,0.8336147596497361,Microchips,Pebbles,False
PEBBLES_XS,TRANSLATOR_VOID_BLUE,-0.8315898594636075,0.8315898594636075,Pebbles,Translators,False
