product_a,product_b,correlation,abs_correlation,category_a,category_b,same_category
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,-0.9231686292032215,0.9231686292032215,Snackpacks,Snackpacks,True
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,-0.9151916562765425,0.9151916562765425,Snackpacks,Snackpacks,True
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,-0.8306591784804822,0.8306591784804822,Snackpacks,Snackpacks,True
PEBBLES_M,PEBBLES_XL,-0.5059318818640386,0.5059318818640386,Pebbles,Pebbles,True
PEBBLES_L,PEBBLES_XL,-0.493156769944807,0.493156769944807,Pebbles,Pebbles,True
PEBBLES_S,PEBBLES_XL,-0.48293566761512197,0.48293566761512197,Pebbles,Pebbles,True
PEBBLES_XL,PEBBLES_XS,-0.4751281898423835,0.4751281898423835,Pebbles,Pebbles,True
PEBBLES_XS,TRANSLATOR_VOID_BLUE,-0.017818857289031695,0.017818857289031695,Pebbles,Translators,False
GALAXY_SOUNDS_SOLAR_WINDS,PEBBLES_S,-0.016875616153473355,0.016875616153473355,Galaxy sounds,Pebbles,False
PEBBLES_XS,ROBOT_LAUNDRY,-0.015108253078934153,0.015108253078934153,Pebbles,Robots,False
PEBBLES_XS,SNACKPACK_VANILLA,-0.01377461478454868,0.01377461478454868,Pebbles,Snackpacks,False
MICROCHIP_OVAL,UV_VISOR_YELLOW,-0.013026249879770661,0.013026249879770661,Microchips,UV visors,False
MICROCHIP_RECTANGLE,OXYGEN_SHAKE_MINT,-0.012401792567594907,0.012401792567594907,Microchips,Oxygen shakes,False
MICROCHIP_CIRCLE,SLEEP_POD_POLYESTER,-0.011980697979161096,0.011980697979161096,Microchips,Sleep pods,False
MICROCHIP_OVAL,OXYGEN_SHAKE_CHOCOLATE,-0.011801957676955174,0.011801957676955174,Microchips,Oxygen shakes,False
MICROCHIP_SQUARE,SLEEP_POD_NYLON,-0.011792470829705689,0.011792470829705689,Microchips,Sleep pods,False
MICROCHIP_TRIANGLE,SNACKPACK_CHOCOLATE,-0.011186004250999084,0.011186004250999084,Microchips,Snackpacks,False
PEBBLES_XS,UV_VISOR_RED,-0.011019754386736942,0.011019754386736942,Pebbles,UV visors,False
PEBBLES_M,SNACKPACK_CHOCOLATE,-0.010977784183693355,0.010977784183693355,Pebbles,Snackpacks,False
ROBOT_MOPPING,SNACKPACK_STRAWBERRY,-0.010802951186790243,0.010802951186790243,Robots,Snackpacks,False
PEBBLES_XS,ROBOT_VACUUMING,-0.01041673692555651,0.01041673692555651,Pebbles,Robots,False
MICROCHIP_OVAL,OXYGEN_SHAKE_MORNING_BREATH,-0.010396107419980741,0.010396107419980741,Microchips,Oxygen shakes,False
TRANSLATOR_ECLIPSE_CHARCOAL,UV_VISOR_ORANGE,-0.01035869561909291,0.01035869561909291,Translators,UV visors,False
MICROCHIP_CIRCLE,ROBOT_IRONING,-0.01030400296493401,0.01030400296493401,Microchips,Robots,False
OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_L,-0.010136662796995849,0.010136662796995849,Oxygen shakes,Pebbles,False
PEBBLES_M,TRANSLATOR_ASTRO_BLACK,-0.010057641252364887,0.010057641252364887,Pebbles,Translators,False
GALAXY_SOUNDS_SOLAR_FLAMES,PEBBLES_S,-0.00984548960188373,0.00984548960188373,Galaxy sounds,Pebbles,False
ROBOT_MOPPING,SNACKPACK_PISTACHIO,-0.009843333527537919,0.009843333527537919,Robots,Snackpacks,False
PEBBLES_S,UV_VISOR_ORANGE,-0.009781601850577273,0.009781601850577273,Pebbles,UV visors,False
