product_a,product_b,correlation,abs_correlation,category_a,category_b,same_category
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,-0.940922047238229,0.940922047238229,Sleep pods,UV visors,False
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,-0.9258729584924743,0.9258729584924743,Snackpacks,Snackpacks,True
MICROCHIP_SQUARE,UV_VISOR_AMBER,-0.9141512704655098,0.9141512704655098,Microchips,UV visors,False
MICROCHIP_SQUARE,PEBBLES_XS,-0.9137680533902138,0.9137680533902138,Microchips,Pebbles,False
SNACKPACK_STRAWBERRY,UV_VISOR_AMBER,-0.8936286230056407,0.8936286230056407,Snackpacks,UV visors,False
PEBBLES_XS,SLEEP_POD_POLYESTER,-0.8932897560346159,0.8932897560346159,Pebbles,Sleep pods,False
SLEEP_POD_SUEDE,UV_VISOR_AMBER,-0.8909262809414851,0.8909262809414851,Sleep pods,UV visors,False
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,-0.8850039410192105,0.8850039410192105,Galaxy sounds,Pebbles,False
OXYGEN_SHAKE_GARLIC,PEBBLES_S,-0.8840357726465093,0.8840357726465093,Oxygen shakes,Pebbles,False
MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,-0.8822983028170499,0.8822983028170499,Microchips,Microchips,True
PEBBLES_XS,SLEEP_POD_SUEDE,-0.879139456549453,0.879139456549453,Pebbles,Sleep pods,False
PANEL_1X4,ROBOT_MOPPING,-0.8751482757175731,0.8751482757175731,Panels,Robots,False
UV_VISOR_AMBER,UV_VISOR_MAGENTA,-0.867276220686244,0.867276220686244,UV visors,UV visors,True
PANEL_2X4,PEBBLES_XS,-0.8596683206195257,0.8596683206195257,Panels,Pebbles,False
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_OVAL,-0.8586018644290404,0.8586018644290404,Galaxy sounds,Microchips,False
OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_M,-0.8576457785535174,0.8576457785535174,Oxygen shakes,Pebbles,False
MICROCHIP_TRIANGLE,UV_VISOR_RED,-0.8523548245067996,0.8523548245067996,Microchips,UV visors,False
PEBBLES_XS,SNACKPACK_STRAWBERRY,-0.8504540181304768,0.8504540181304768,Pebbles,Snackpacks,False
MICROCHIP_OVAL,OXYGEN_SHAKE_GARLIC,-0.8468219501354766,0.8468219501354766,Microchips,Oxygen shakes,False
PEBBLES_XS,UV_VISOR_MAGENTA,-0.8456362211136017,0.8456362211136017,Pebbles,UV visors,False
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_TRIANGLE,-0.8418525444606354,0.8418525444606354,Galaxy sounds,Microchips,False
PEBBLES_S,PEBBLES_XL,-0.8343570524569902,0.8343570524569902,Pebbles,Pebbles,True
PEBBLES_XS,TRANSLATOR_VOID_BLUE,-0.8315898594636075,0.8315898594636075,Pebbles,Translators,False
OXYGEN_SHAKE_GARLIC,PEBBLES_XS,-0.8305130023651318,0.8305130023651318,Oxygen shakes,Pebbles,False
SLEEP_POD_COTTON,UV_VISOR_AMBER,-0.8303442504606434,0.8303442504606434,Sleep pods,UV visors,False
TRANSLATOR_VOID_BLUE,UV_VISOR_AMBER,-0.829784978200612,0.829784978200612,Translators,UV visors,False
PANEL_2X4,PEBBLES_S,-0.8293050407569393,0.8293050407569393,Panels,Pebbles,False
GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,-0.8286971105314049,0.8286971105314049,Galaxy sounds,Panels,False
PEBBLES_S,ROBOT_DISHES,-0.8286543429403209,0.8286543429403209,Pebbles,Robots,False
MICROCHIP_OVAL,ROBOT_DISHES,-0.8284567818569836,0.8284567818569836,Microchips,Robots,False
PEBBLES_XL,PEBBLES_XS,-0.8275696574563158,0.8275696574563158,Pebbles,Pebbles,True
SLEEP_POD_SUEDE,TRANSLATOR_ASTRO_BLACK,-0.8231538093263282,0.8231538093263282,Sleep pods,Translators,False
OXYGEN_SHAKE_GARLIC,UV_VISOR_AMBER,-0.8222009772221798,0.8222009772221798,Oxygen shakes,UV visors,False
MICROCHIP_OVAL,PANEL_2X4,-0.8183961951068052,0.8183961951068052,Microchips,Panels,False
PANEL_2X2,UV_VISOR_RED,-0.8174364371646687,0.8174364371646687,Panels,UV visors,False
MICROCHIP_SQUARE,TRANSLATOR_ASTRO_BLACK,-0.817330991435823,0.817330991435823,Microchips,Translators,False
OXYGEN_SHAKE_MORNING_BREATH,ROBOT_MOPPING,-0.817303816285805,0.817303816285805,Oxygen shakes,Robots,False
PEBBLES_M,ROBOT_IRONING,-0.8165655606171345,0.8165655606171345,Pebbles,Robots,False
ROBOT_DISHES,UV_VISOR_AMBER,-0.8164104852697858,0.8164104852697858,Robots,UV visors,False
