product_a,product_b,correlation,abs_correlation,category_a,category_b,same_category
PEBBLES_XS,UV_VISOR_AMBER,0.9582978958301704,0.9582978958301704,Pebbles,UV visors,False
MICROCHIP_SQUARE,SLEEP_POD_SUEDE,0.9184890103606063,0.9184890103606063,Microchips,Sleep pods,False
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,0.8853271795478015,0.8853271795478015,Galaxy sounds,Oxygen shakes,False
MICROCHIP_OVAL,ROBOT_IRONING,0.8823250697613839,0.8823250697613839,Microchips,Robots,False
MICROCHIP_SQUARE,SLEEP_POD_POLYESTER,0.8793993760667139,0.8793993760667139,Microchips,Sleep pods,False
MICROCHIP_OVAL,PEBBLES_S,0.8780761677026365,0.8780761677026365,Microchips,Pebbles,False
PANEL_2X4,PEBBLES_XL,0.8762561570063178,0.8762561570063178,Panels,Pebbles,False
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,0.8752369904279045,0.8752369904279045,Sleep pods,Sleep pods,True
SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,0.8751293286642039,0.8751293286642039,Sleep pods,Snackpacks,False
MICROCHIP_OVAL,UV_VISOR_AMBER,0.8712661769666958,0.8712661769666958,Microchips,UV visors,False
MICROCHIP_OVAL,ROBOT_VACUUMING,0.8709724095252637,0.8709724095252637,Microchips,Robots,False
MICROCHIP_OVAL,MICROCHIP_TRIANGLE,0.8704587961153705,0.8704587961153705,Microchips,Microchips,True
MICROCHIP_OVAL,PEBBLES_XS,0.8704321037497369,0.8704321037497369,Microchips,Pebbles,False
MICROCHIP_OVAL,ROBOT_LAUNDRY,0.8618805243307176,0.8618805243307176,Microchips,Robots,False
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,0.859616647598686,0.859616647598686,Sleep pods,Sleep pods,True
SLEEP_POD_POLYESTER,UV_VISOR_MAGENTA,0.8582018081201666,0.8582018081201666,Sleep pods,UV visors,False
MICROCHIP_TRIANGLE,ROBOT_LAUNDRY,0.856255321075568,0.856255321075568,Microchips,Robots,False
OXYGEN_SHAKE_GARLIC,PEBBLES_XL,0.8531837227851208,0.8531837227851208,Oxygen shakes,Pebbles,False
PEBBLES_XS,ROBOT_VACUUMING,0.8519409506156891,0.8519409506156891,Pebbles,Robots,False
PANEL_1X4,ROBOT_IRONING,0.848613214869583,0.848613214869583,Panels,Robots,False
SLEEP_POD_SUEDE,UV_VISOR_MAGENTA,0.8479262583205713,0.8479262583205713,Sleep pods,UV visors,False
PANEL_2X2,ROBOT_LAUNDRY,0.8438259735102406,0.8438259735102406,Panels,Robots,False
MICROCHIP_RECTANGLE,PEBBLES_XS,0.8430428409745448,0.8430428409745448,Microchips,Pebbles,False
OXYGEN_SHAKE_GARLIC,PANEL_2X4,0.8428359272688238,0.8428359272688238,Oxygen shakes,Panels,False
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_DISHES,0.8391011310368544,0.8391011310368544,Galaxy sounds,Robots,False
ROBOT_VACUUMING,UV_VISOR_AMBER,0.8374542581515411,0.8374542581515411,Robots,UV visors,False
MICROCHIP_TRIANGLE,PEBBLES_S,0.8336147596497361,0.8336147596497361,Microchips,Pebbles,False
MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,0.829620618428056,0.829620618428056,Microchips,Oxygen shakes,False
MICROCHIP_SQUARE,UV_VISOR_MAGENTA,0.8274619003372925,0.8274619003372925,Microchips,UV visors,False
TRANSLATOR_VOID_BLUE,UV_VISOR_MAGENTA,0.8216761167539443,0.8216761167539443,Translators,UV visors,False
SLEEP_POD_SUEDE,TRANSLATOR_VOID_BLUE,0.8184613674229054,0.8184613674229054,Sleep pods,Translators,False
MICROCHIP_OVAL,PANEL_1X4,0.8166443442110974,0.8166443442110974,Microchips,Panels,False
MICROCHIP_RECTANGLE,TRANSLATOR_ASTRO_BLACK,0.8159876203984737,0.8159876203984737,Microchips,Translators,False
MICROCHIP_RECTANGLE,UV_VISOR_AMBER,0.815167015574911,0.815167015574911,Microchips,UV visors,False
PEBBLES_S,UV_VISOR_AMBER,0.8133455924672123,0.8133455924672123,Pebbles,UV visors,False
GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X4,0.8121814965157859,0.8121814965157859,Galaxy sounds,Panels,False
OXYGEN_SHAKE_MORNING_BREATH,PANEL_1X4,0.8105477188395908,0.8105477188395908,Oxygen shakes,Panels,False
PEBBLES_XL,TRANSLATOR_VOID_BLUE,0.80936933351071,0.80936933351071,Pebbles,Translators,False
PEBBLES_XS,ROBOT_IRONING,0.8048960333956806,0.8048960333956806,Pebbles,Robots,False
SNACKPACK_STRAWBERRY,TRANSLATOR_VOID_BLUE,0.8037969997139928,0.8037969997139928,Snackpacks,Translators,False
MICROCHIP_SQUARE,SNACKPACK_STRAWBERRY,0.8027321331292617,0.8027321331292617,Microchips,Snackpacks,False
PEBBLES_XL,ROBOT_DISHES,0.8022741865997045,0.8022741865997045,Pebbles,Robots,False
PANEL_1X4,ROBOT_VACUUMING,0.8011146224505525,0.8011146224505525,Panels,Robots,False
MICROCHIP_TRIANGLE,PANEL_2X2,0.8010630552645792,0.8010630552645792,Microchips,Panels,False
OXYGEN_SHAKE_MORNING_BREATH,ROBOT_IRONING,0.8007975254302824,0.8007975254302824,Oxygen shakes,Robots,False
PEBBLES_S,PEBBLES_XS,0.7982724958895949,0.7982724958895949,Pebbles,Pebbles,True
OXYGEN_SHAKE_GARLIC,ROBOT_DISHES,0.7980981421412504,0.7980981421412504,Oxygen shakes,Robots,False
ROBOT_IRONING,UV_VISOR_AMBER,0.7978815397948072,0.7978815397948072,Robots,UV visors,False
PEBBLES_S,ROBOT_IRONING,0.7963168670601876,0.7963168670601876,Pebbles,Robots,False
OXYGEN_SHAKE_MORNING_BREATH,ROBOT_VACUUMING,0.7917630882997029,0.7917630882997029,Oxygen shakes,Robots,False
