,category,mean_spread,spread_cv,spread_modal_frac,spread_n_distinct,imb_l1_mean,imb_l1_std,depth_asym_mean,depth_asym_std,l2_bid_frac,l3_bid_frac,bid_stickiness,ask_stickiness,both_stickiness
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,13.051,0.1011,0.6178,8,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.04,0.0387,0.0252
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,13.301,0.1077,0.423,8,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0371,0.0375,0.0231
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,13.69,0.117,0.3163,10,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0359,0.038,0.022
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,14.072,0.1029,0.5244,9,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0354,0.0343,0.022
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,14.513,0.1233,0.3479,13,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0361,0.0354,0.0229
MICROCHIP_OVAL,MICROCHIP,7.45,0.1921,0.2875,9,0.0025,0.2302,-0.0,0.017,0.8157,0.0101,0.0342,0.0351,0.0219
MICROCHIP_RECTANGLE,MICROCHIP,7.886,0.1235,0.473,8,-0.0006,0.2174,-0.0,0.017,0.8738,0.0106,0.0334,0.0318,0.0205
MICROCHIP_CIRCLE,MICROCHIP,8.262,0.1077,0.6073,8,0.0008,0.1794,-0.0,0.017,0.9189,0.0115,0.0443,0.0428,0.0274
MICROCHIP_TRIANGLE,MICROCHIP,8.635,0.1209,0.5102,8,0.0002,0.1513,-0.0,0.017,0.9516,0.0116,0.0311,0.0306,0.0205
MICROCHIP_SQUARE,MICROCHIP,11.719,0.151,0.3381,12,0.0002,0.0541,-0.0,0.017,0.9998,0.0124,0.0214,0.0216,0.0142
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,11.86,0.0961,0.9341,6,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.4045,0.4058,0.3918
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,12.185,0.11,0.6645,9,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.1714,0.172,0.1578
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,12.594,0.1083,0.569,8,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0406,0.0393,0.0244
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,12.783,0.1145,0.364,9,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0405,0.0394,0.0241
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,15.055,0.1211,0.4349,13,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0348,0.0352,0.0217
PANEL_1X4,PANEL,8.377,0.1294,0.4106,8,-0.0015,0.1936,0.0,0.012,0.9302,0.0155,0.0429,0.0417,0.0279
PANEL_2X2,PANEL,8.515,0.1193,0.5031,8,0.0013,0.1694,0.0,0.012,0.9462,0.0159,0.0419,0.0406,0.0281
PANEL_4X4,PANEL,8.75,0.1111,0.6663,7,-0.0004,0.1374,0.0,0.012,0.9759,0.0165,0.0396,0.0401,0.0245
PANEL_2X4,PANEL,9.84,0.1129,0.5595,8,-0.0001,0.0896,0.0,0.012,1.0,0.0168,0.0345,0.0345,0.0211
PANEL_1X2,PANEL,11.51,0.1157,0.4024,9,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0449,0.0422,0.0262
PEBBLES_XS,PEBBLES,9.745,0.2004,0.2339,12,0.0006,0.1506,-0.0,0.012,0.9603,0.0127,0.0265,0.0264,0.0169
PEBBLES_S,PEBBLES,11.552,0.1258,0.4037,11,0.0005,0.072,-0.0,0.012,1.0,0.0135,0.0275,0.0285,0.0181
PEBBLES_L,PEBBLES,13.02,0.1066,0.4162,9,0.0005,0.072,-0.0,0.012,1.0,0.0135,0.0256,0.0262,0.017
PEBBLES_M,PEBBLES,13.121,0.1095,0.3635,9,0.0005,0.072,-0.0,0.012,1.0,0.0135,0.0257,0.0264,0.0165
PEBBLES_XL,PEBBLES,16.631,0.1545,0.2444,18,0.0005,0.072,-0.0,0.012,1.0,0.0135,0.0127,0.0127,0.0076
ROBOT_IRONING,ROBOT,6.393,0.1624,0.7243,4,-0.0001,0.0713,-0.0,0.021,0.7602,0.0134,0.418,0.4183,0.4039
ROBOT_VACUUMING,ROBOT,6.753,0.1231,0.6448,7,0.003,0.2846,-0.0,0.021,0.7345,0.012,0.0443,0.043,0.0249
ROBOT_LAUNDRY,ROBOT,7.165,0.1232,0.5492,7,-0.003,0.297,-0.0,0.021,0.7933,0.0128,0.0403,0.0417,0.0225
ROBOT_DISHES,ROBOT,7.35,0.1162,0.4757,7,0.0004,0.2264,-0.0,0.021,0.8325,0.0141,0.2925,0.2931,0.2729
ROBOT_MOPPING,ROBOT,7.971,0.1234,0.5286,6,-0.001,0.2166,-0.0,0.021,0.8891,0.0149,0.0368,0.0357,0.0205
SLEEP_POD_NYLON,SLEEP_POD,8.565,0.1138,0.5632,8,-0.0002,0.1628,0.0,0.012,0.9561,0.0161,0.0417,0.0413,0.0251
SLEEP_POD_LAMB_WOOL,SLEEP_POD,9.4,0.1078,0.5141,8,-0.0001,0.0901,0.0,0.012,0.9997,0.0168,0.0386,0.0382,0.0238
SLEEP_POD_SUEDE,SLEEP_POD,9.949,0.1225,0.3712,10,0.0,0.095,0.0,0.012,0.9976,0.0168,0.0358,0.0359,0.0234
SLEEP_POD_COTTON,SLEEP_POD,10.05,0.1222,0.4665,9,-0.0001,0.0898,0.0,0.012,0.9999,0.0168,0.0341,0.0335,0.0212
SLEEP_POD_POLYESTER,SLEEP_POD,10.296,0.1251,0.4004,9,-0.0001,0.0907,0.0,0.012,0.9995,0.0168,0.0342,0.0326,0.02
SNACKPACK_PISTACHIO,SNACKPACK,15.926,0.0966,0.6984,8,-0.0003,0.1394,0.0,0.005,1.0,0.0168,0.0741,0.0764,0.0496
SNACKPACK_CHOCOLATE,SNACKPACK,16.471,0.0961,0.6596,8,-0.0003,0.1394,0.0,0.005,1.0,0.0168,0.061,0.06,0.0399
SNACKPACK_RASPBERRY,SNACKPACK,16.842,0.0956,0.7269,7,-0.0003,0.1394,0.0,0.005,1.0,0.0168,0.0472,0.0475,0.031
SNACKPACK_VANILLA,SNACKPACK,16.869,0.0956,0.7185,7,-0.0003,0.1394,0.0,0.005,1.0,0.0168,0.0577,0.0593,0.0379
SNACKPACK_STRAWBERRY,SNACKPACK,17.826,0.0993,0.5015,10,-0.0003,0.1394,0.0,0.005,1.0,0.0168,0.0494,0.0483,0.0305
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,8.366,0.1126,0.4776,8,-0.0005,0.1758,0.0,0.012,0.9365,0.0156,0.0425,0.0413,0.0277
TRANSLATOR_SPACE_GRAY,TRANSLATOR,8.402,0.1138,0.5276,8,-0.0005,0.1779,0.0,0.012,0.9423,0.0159,0.043,0.0413,0.0257
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,8.7,0.107,0.716,7,0.0004,0.1376,0.0,0.012,0.9747,0.0164,0.042,0.041,0.0263
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,8.912,0.1087,0.6999,8,0.0006,0.1165,0.0,0.012,0.9865,0.0166,0.0395,0.0399,0.027
TRANSLATOR_VOID_BLUE,TRANSLATOR,9.525,0.1103,0.5862,8,-0.0004,0.0952,0.0,0.012,0.9979,0.0168,0.0378,0.0375,0.0257
UV_VISOR_AMBER,UV_VISOR,10.32,0.1523,0.3137,11,-0.0003,0.1194,0.0,0.008,0.9996,0.0168,0.0493,0.0499,0.031
UV_VISOR_ORANGE,UV_VISOR,13.284,0.1079,0.4233,8,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0394,0.0384,0.0253
UV_VISOR_YELLOW,UV_VISOR,13.91,0.1117,0.3672,10,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0359,0.0363,0.0241
UV_VISOR_RED,UV_VISOR,14.039,0.1075,0.4803,9,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0355,0.0349,0.0225
UV_VISOR_MAGENTA,UV_VISOR,14.092,0.1085,0.4301,10,-0.0002,0.1185,0.0,0.008,1.0,0.0168,0.0354,0.0359,0.0238
